"regulatoryGene"	"targetGene"	"weight"
"NLRP6"	"LGR5"	0.00348339128727433
"NDUFS3"	"HIST1H1E"	0.00348171631785268
"LINC01857"	"SMIM28"	0.00348095262253658
"PTPRA"	"UBC"	0.00347639332664021
"SUPT6H"	"GRIN3A"	0.00347398252971745
"PLA2G2D"	"EVX2"	0.00346993322025721
"NBAS"	"GOLGA2P7"	0.00346937541530223
"LINC01410"	"ENSG00000280286"	0.00346824491393108
"SLC12A4"	"CYP17A1"	0.0034615736212903
"EVX2"	"ETV1"	0.00346002867098158
"EVX2"	"ENSG00000273151"	0.00345574984068134
"LGR5"	"UFSP1"	0.00345509308829446
"PRR5"	"NHLH2"	0.00345352941935361
"POU6F2"	"CACNA2D3"	0.00344824497432797
"UBC"	"PNMA8A"	0.00344681364678549
"CHRM1"	"NBAS"	0.00343605009569486
"SIK1B"	"MAFF"	0.00343321537114543
"EVX2"	"SMO"	0.00342721287518317
"DNAJA1"	"NBAS"	0.00342695383076536
"ENDOV"	"NBAS"	0.00342695383076536
"ENSG00000260300"	"NBAS"	0.00342695383076536
"VASN"	"ENSG00000261888"	0.0034263247370312
"MASP2"	"ENSG00000176716"	0.00342466795466993
"ENSG00000258982"	"LRRTM3"	0.00342449563524089
"MYO1D"	"MEG9"	0.00341805020846634
"ENSG00000233830"	"ENSG00000280727"	0.00341726550558529
"ENSG00000272173"	"FNDC9"	0.00340681780710778
"KDM4C"	"SIK1B"	0.00340182605117615
"ENSG00000199476"	"LGR5"	0.00339805554892385
"ENSG00000269867"	"KRT9"	0.00339202558480204
"PRSS12"	"GLRA1"	0.00338956783011565
"HGS"	"GRIN3A"	0.00338717469991846
"EPHX3"	"SIK1B"	0.00338693015172022
"RAB22A"	"AMIGO2"	0.00338430211523432
"AMIGO2"	"KIF2C"	0.00338412046464446
"UBC"	"IER3-AS1"	0.00338132671558107
"UBC"	"ATP6V1G2"	0.003379642653242
"GRIN3A"	"BRINP3"	0.00337611406415205
"CMYA5"	"SPPL2A"	0.00337273315135973
"ENSG00000274383"	"ZNF585A"	0.00337239379108847
"ENSG00000253347"	"SEPSECS"	0.00337174504586532
"POU6F2"	"CACNA2D3-AS1"	0.00337147918613911
"MYL6"	"MYL3"	0.00336963043826025
"ENSG00000176716"	"KCNIP4"	0.00336898152229099
"ENSG00000237857"	"ALDH1A2"	0.00336855146937306
"ENSG00000280832"	"EDIL3"	0.00336486964334294
"C7orf31"	"RTL1"	0.00336349243971111
"MIR3142HG"	"PRSS12"	0.00335287185355406
"LRRTM3"	"NPY5R"	0.00335158488788529
"CD40"	"SMIM28"	0.00335138431390706
"CRYL1"	"RTL1"	0.00334835632161628
"HS3ST5"	"TSPYL5"	0.00334479949259696
"ENSG00000253347"	"LCN12"	0.00334477786719045
"SYT3"	"NBAS"	0.00334253138373087
"ANKRD24"	"POU6F2"	0.00334110460048013
"LLGL2"	"HOXD10"	0.00334057802804037
"TNIK"	"NHLH2"	0.00333641323735537
"LGR5"	"PSMB3"	0.00333629048052761
"HS3ST5"	"NVL"	0.00333553680010419
"ENSG00000272888"	"HIST1H1E"	0.00333380243910414
"NAALADL1"	"SMIM28"	0.00333285196511892
"RGS19"	"SMIM28"	0.00333285196511892
"NXPH3"	"ENSG00000227598"	0.00333081173347838
"ENSG00000233695"	"MEG9"	0.00332386865905932
"NEU1"	"SIK1B"	0.00332334772457117
"ENSG00000253347"	"NSUN3"	0.003322590139536
"SMIM28"	"GLRA2"	0.00332120474813236
"UBC"	"GJC3"	0.00331753803009696
"ENSG00000266050"	"DPY19L2P4"	0.00331725832590479
"ENSG00000254941"	"SMIM28"	0.00331173469227441
"MAPK15"	"ACSF3"	0.00330976568275638
"CRABP1"	"MYH14"	0.00330768663502894
"ENSG00000237857"	"ENSG00000232389"	0.00330266808357624
"DPY19L2P4"	"ZNF493"	0.00329409415884689
"ENSG00000237857"	"RASL11B"	0.00327887241160825
"PRDM5"	"MAPK15"	0.00327685308807835
"SOX4"	"DPY19L2P4"	0.00327622195589547
"CYP17A1"	"ENTPD3-AS1"	0.00327445437024993
"ENSG00000272267"	"LRRTM3"	0.00326519299866694
"RAET1E-AS1"	"ENSG00000280727"	0.00326275943124317
"MAPK15"	"ENSG00000268751"	0.00326007812691142
"ENSG00000253347"	"KMT2A"	0.00325974669756514
"ENSG00000272927"	"LINC01410"	0.00325930049493118
"KIAA2012"	"ENSG00000176716"	0.00325796277710133
"NHLH2"	"BAALC-AS2"	0.00325777540536206
"PRSS12"	"ARID1A"	0.00324996694459297
